cmd_vel_lin_x, cmd_vel_ang_z
0.000000,0.000000
0.207155,0.217742
0.244970,0.219796
0.316098,0.197335
0.363696,0.170639
0.429833,0.136093
0.489823,0.068694
0.500000,0.014895
0.500000,-0.001693
0.500000,-0.001055
0.500000,0.002670
0.500000,0.014784
0.500000,-0.003107
0.500000,0.000347
0.500000,0.018410
0.500000,-0.016828
0.500000,-0.005115
0.500000,-0.002387
0.500000,-0.005000
0.500000,0.026951
0.500000,0.006689
0.500000,-0.000084
0.500000,-0.000821
0.500000,-0.000654
0.500000,-0.003758
0.500000,-0.002247
0.081708,-0.371821
-0.017618,-0.153684
0.000000,0.000000
0.000000,0.000000
-0.030790,0.114124
0.000000,0.000000
0.065024,-0.057295
0.000000,0.000000
-0.005460,-0.448312
-0.046477,-0.364517
-0.011041,-0.500267
0.000000,0.000000
-0.008616,-0.523135
-0.012136,-0.514379
-0.007100,-0.513012
-0.005822,-0.234500
-0.006861,-0.064056
0.000000,0.000000
-0.047828,0.167941
-0.022789,-0.122517
-0.024288,-0.190033
-0.014147,-0.381720
-0.003965,-0.505559
-0.012009,-0.519139
-0.019391,-0.509176
-0.007269,-0.517050
-0.002248,-0.513845
-0.007459,-0.510904
-0.015942,-0.511821
-0.004218,-0.510779
-0.006644,-0.523020
-0.006268,-0.514331
0.040784,-0.514767
0.099374,-0.524082
0.176416,-0.512291
0.243831,-0.495662
0.307829,-0.466915
0.373674,-0.312035
0.433996,-0.172238
0.493133,-0.166278
0.500000,-0.055831
0.500000,-0.175339
0.495216,0.079109
0.500000,0.085723
0.500000,0.367830
0.500000,0.300594
0.500000,0.353883
0.500000,0.397614
0.497702,0.510700
0.500000,0.504106
0.500000,0.504739
0.500000,0.508261
0.491016,0.514067
0.496410,0.507044
0.486666,0.514617
0.500000,0.500843
0.500000,0.503840
0.493783,0.513962
0.500000,0.504353
0.500000,0.504099
0.500000,0.505905
0.500000,0.504800
0.500000,0.505656
0.500000,0.502182
0.500000,0.501482
0.500000,0.501728
0.500000,0.501110
0.500000,0.501568
0.500000,0.500235
0.500000,0.500237
0.500000,0.476824
0.500000,0.401456
0.500000,0.330860
0.500000,0.199700
0.500000,0.114826
0.500000,0.049064
0.500000,0.005695
0.500000,0.017383
0.500000,0.040550
0.500000,0.057807
0.500000,0.020359
0.500000,0.028280
0.500000,0.004714
0.500000,-0.133063
0.500000,-0.111715
0.500000,-0.011310
0.500000,0.020027
0.500000,0.046337
0.500000,-0.050361
0.500000,-0.012730
0.500000,0.004462
0.500000,0.034058
0.500000,0.021039
0.500000,0.032533
0.500000,0.016140
0.500000,0.030452
0.500000,0.015653
0.500000,0.028938
0.375624,0.147997
0.209683,0.069908
0.272700,0.177300
0.206373,0.363832
0.227408,0.260319
0.000000,0.000000
-0.007238,-0.092389
0.056893,0.189297
-0.009887,0.241984
0.000000,0.000000
-0.074812,-0.036789
-0.004373,0.187145
-0.008663,0.363931
0.000000,0.000000
-0.003620,-0.041446
0.000000,0.000000
-0.009078,-0.168820
-0.057723,0.130151
-0.012708,0.270616
-0.012237,0.388618
-0.007845,0.515667
-0.009739,0.514107
-0.015562,0.527415
-0.004447,0.511785
-0.001107,0.510767
-0.007999,0.514766
-0.010289,0.520279
0.000499,0.509307
-0.004578,0.512708
0.058283,0.522291
0.126759,0.510929
0.205286,0.508467
0.194860,0.519841
0.180957,0.519986
0.225683,0.514106
0.232387,0.514913
0.239617,0.499755
0.301599,0.316474
0.378767,0.331752
0.435516,0.178011
0.459695,0.062266
0.483021,0.072374
0.499770,0.006435
0.500000,-0.162997
0.500000,-0.356645
0.500000,-0.500250
0.467594,-0.526866
0.500000,-0.507979
0.480135,-0.515445
0.477372,-0.513021
0.477660,-0.509862
0.480492,-0.511695
0.486848,-0.509426
0.487913,-0.511797
0.496908,-0.506920
0.498832,-0.508329
0.500000,-0.469289
0.495107,-0.512023
0.497792,-0.509343
0.500000,-0.509603
0.500000,-0.509266
0.500000,-0.494140
0.500000,-0.503034
0.500000,-0.502775
0.500000,-0.501974
0.500000,-0.501925
0.500000,-0.500704
0.500000,-0.500950
0.500000,-0.500566
0.500000,-0.500310
0.500000,-0.500321
0.500000,-0.432558
0.500000,-0.364744
0.500000,-0.280913
0.500000,-0.220605
0.500000,-0.146970
0.500000,0.004576
0.500000,0.039074
0.500000,0.010229
0.500000,-0.052793
0.500000,0.009880
0.500000,-0.003728
0.500000,-0.021906
0.500000,-0.048479
0.500000,0.000380
0.500000,-0.124483
0.500000,0.029855
0.500000,-0.030736
0.500000,0.073489
0.500000,0.028175
0.500000,-0.005479
0.500000,0.021091
0.500000,-0.038923
0.500000,-0.042043
0.500000,-0.038917
0.500000,-0.033443
0.500000,-0.018161
0.500000,-0.079459
0.500000,-0.060798
0.500000,-0.030675
0.500000,-0.027804
0.500000,0.005966
0.500000,0.006050
0.500000,0.005410
0.500000,-0.001231
0.500000,-0.003721
0.500000,0.004858
0.500000,0.055891
0.500000,0.038072
0.500000,-0.007058
0.500000,-0.053707
0.500000,-0.047289
0.500000,0.016271
0.500000,0.031130
0.500000,0.015836
0.500000,0.007797
0.500000,-0.004354
0.500000,-0.039523
0.500000,-0.036385
0.500000,-0.001535
0.490691,0.007808
0.483390,0.002305
0.461475,0.008205
0.452269,0.005297
0.423910,-0.007605
0.388060,0.008387
0.357574,0.012860
0.331897,-0.080451
0.301395,-0.085593
0.000000,0.000000
0.000000,0.000000
